QA output created by 1398

pcp-pidstat output: set reporting timezone to one for your choice
Linux  3.10.0-693.el7.x86_64  (localhost.localdomain)  06/20/18  x86_64    (4 CPU)
Timestamp        UID	PID	usr	system	guest	%CPU	CPU	Command
09:47:41         0	4091	?	?	?	?	1	realmd
09:47:41         42	4140	?	?	?	?	?	ibus-engine-sim
09:47:41         387	7141	?	?	?	?	2	pmlogger
09:47:41         0	7175	?	?	?	?	?	pmlc
09:47:41         0	7176	?	?	?	?	?	grep
Timestamp        UID	PID	usr	system	guest	%CPU	CPU	Command
09:47:42         0	1	0.2	0.9	0.0	1.1	0	systemd
09:47:42         0	2	0.0	0.0	0.0	0.0	3	kthreadd
09:47:42         0	3	0.0	0.0	0.0	0.0	0	ksoftirqd/0
09:47:42         0	4	0.0	0.1	0.0	0.1	0	kworker/0:0
09:47:42         0	5	0.0	0.0	0.0	0.0	0	kworker/0:0H
09:47:42         0	6	0.0	0.0	0.0	0.0	3	kworker/u8:0
09:47:42         0	7	0.0	0.1	0.0	0.1	0	migration/0
09:47:42         0	8	0.0	0.0	0.0	0.0	0	rcu_bh
09:47:42         0	9	0.0	0.2	0.0	0.2	1	rcu_sched
09:47:42         0	10	0.0	0.0	0.0	0.0	0	watchdog/0
09:47:42         0	11	0.0	0.0	0.0	0.0	1	watchdog/1
09:47:42         0	12	0.0	0.0	0.0	0.0	1	migration/1
09:47:42         0	13	0.0	0.1	0.0	0.1	1	ksoftirqd/1
09:47:42         0	14	0.0	0.0	0.0	0.0	1	kworker/1:0
09:47:42         0	15	0.0	0.0	0.0	0.0	1	kworker/1:0H
09:47:42         0	16	0.0	0.0	0.0	0.0	2	watchdog/2
09:47:42         0	17	0.0	0.0	0.0	0.0	2	migration/2
09:47:42         0	18	0.0	0.0	0.0	0.0	2	ksoftirqd/2
09:47:42         0	19	0.0	0.0	0.0	0.0	2	kworker/2:0
09:47:42         0	20	0.0	0.0	0.0	0.0	2	kworker/2:0H
09:47:42         0	21	0.0	0.0	0.0	0.0	3	watchdog/3
09:47:42         0	22	0.0	0.1	0.0	0.1	3	migration/3
09:47:42         0	23	0.0	0.0	0.0	0.0	3	ksoftirqd/3
09:47:42         0	24	0.0	0.0	0.0	0.0	3	kworker/3:0
09:47:42         0	25	0.0	0.0	0.0	0.0	3	kworker/3:0H
09:47:42         0	27	0.0	0.0	0.0	0.0	2	kdevtmpfs
09:47:42         0	28	0.0	0.0	0.0	0.0	1	netns
09:47:42         0	29	0.0	0.0	0.0	0.0	1	khungtaskd
09:47:42         0	30	0.0	0.0	0.0	0.0	0	writeback
09:47:42         0	31	0.0	0.0	0.0	0.0	1	kintegrityd
09:47:42         0	32	0.0	0.0	0.0	0.0	1	bioset
09:47:42         0	33	0.0	0.0	0.0	0.0	1	kblockd
09:47:42         0	34	0.0	0.0	0.0	0.0	1	md
09:47:42         0	35	0.0	0.0	0.0	0.0	0	kworker/0:1
09:47:42         0	40	0.0	0.0	0.0	0.0	1	kswapd0
09:47:42         0	41	0.0	0.0	0.0	0.0	3	ksmd
09:47:42         0	42	0.0	0.0	0.0	0.0	1	khugepaged
09:47:42         0	43	0.0	0.0	0.0	0.0	1	crypto
09:47:42         0	51	0.0	0.0	0.0	0.0	1	kthrotld
09:47:42         0	52	0.0	0.0	0.0	0.0	1	kworker/u8:1
09:47:42         0	53	0.0	0.0	0.0	0.0	1	kmpath_rdacd
09:47:42         0	54	0.0	0.0	0.0	0.0	0	kworker/0:2
09:47:42         0	55	0.0	0.0	0.0	0.0	2	kpsmoused
09:47:42         0	56	0.0	0.0	0.0	0.0	2	ipv6_addrconf
09:47:42         0	57	0.0	0.0	0.0	0.0	1	kworker/1:1
09:47:42         0	58	0.0	0.0	0.0	0.0	0	kworker/0:3
09:47:42         0	77	0.0	0.0	0.0	0.0	2	deferwq
09:47:42         0	78	0.0	0.0	0.0	0.0	2	kworker/2:1
09:47:42         0	108	0.0	0.0	0.0	0.0	3	kworker/3:1
09:47:42         0	111	0.0	0.0	0.0	0.0	3	kauditd
09:47:42         0	296	0.0	0.0	0.0	0.0	2	ata_sff
09:47:42         0	305	0.0	0.0	0.0	0.0	0	scsi_eh_0
09:47:42         0	306	0.0	0.0	0.0	0.0	2	scsi_tmf_0
09:47:42         0	307	0.0	0.0	0.0	0.0	2	scsi_eh_1
09:47:42         0	308	0.0	0.0	0.0	0.0	2	scsi_tmf_1
09:47:42         0	309	0.0	0.0	0.0	0.0	1	kworker/u8:2
09:47:42         0	310	0.0	0.0	0.0	0.0	2	kworker/u8:3
09:47:42         0	311	0.0	0.0	0.0	0.0	3	ttm_swap
09:47:42         0	323	0.0	0.2	0.0	0.2	0	kworker/0:1H
09:47:42         0	324	0.0	0.0	0.0	0.0	3	kworker/3:2
09:47:42         0	327	0.0	0.0	0.0	0.0	2	kworker/2:1H
09:47:42         0	328	0.0	0.1	0.0	0.1	1	kworker/1:1H
09:47:42         0	329	0.0	0.1	0.0	0.1	1	kworker/1:2
09:47:42         0	331	0.0	0.1	0.0	0.1	3	kworker/3:1H
09:47:42         0	391	0.0	0.0	0.0	0.0	1	kdmflush
09:47:42         0	392	0.0	0.0	0.0	0.0	0	bioset
09:47:42         0	401	0.0	0.0	0.0	0.0	1	kdmflush
09:47:42         0	402	0.0	0.0	0.0	0.0	0	bioset
09:47:42         0	417	0.0	0.0	0.0	0.0	2	bioset
09:47:42         0	418	0.0	0.0	0.0	0.0	1	xfsalloc
09:47:42         0	419	0.0	0.0	0.0	0.0	3	xfs_mru_cache
09:47:42         0	420	0.0	0.0	0.0	0.0	0	xfs-buf/dm-0
09:47:42         0	421	0.0	0.0	0.0	0.0	0	xfs-data/dm-0
09:47:42         0	422	0.0	0.0	0.0	0.0	0	xfs-conv/dm-0
09:47:42         0	423	0.0	0.0	0.0	0.0	0	xfs-cil/dm-0
09:47:42         0	424	0.0	0.0	0.0	0.0	0	xfs-reclaim/dm-
09:47:42         0	425	0.0	0.0	0.0	0.0	0	xfs-log/dm-0
09:47:42         0	426	0.0	0.0	0.0	0.0	0	xfs-eofblocks/d
