QA output created by 1078

=== pcp-pidstat without filters
Linux  4.4.0-31-generic  (ram-Lenovo)  08/05/16  x86_64    (4 CPU)
Timestamp        UID	PID	usr	system	guest	%CPU	CPU	Command
07:35:06         1000	6962	?	?	?	?	1	notify-osd
07:35:06         1000	6984	?	?	?	?	1	deja-dup-monito
07:35:06         1000	7001	?	?	?	?	3	chrome
07:35:06         1000	7008	?	?	?	?	1	cat
07:35:06         1000	7009	?	?	?	?	1	cat
07:35:06         1000	7012	?	?	?	?	0	chrome
07:35:06         1000	7014	?	?	?	?	1	nacl_helper
07:35:06         1000	7035	?	?	?	?	0	chrome
07:35:06         1000	7066	?	?	?	?	0	chrome
07:35:06         1000	7071	?	?	?	?	2	chrome
07:35:06         1000	7121	?	?	?	?	0	slack
07:35:06         1000	7150	?	?	?	?	1	chrome
07:35:06         1000	7188	?	?	?	?	2	chrome
07:35:06         1000	7213	?	?	?	?	0	chrome
07:35:06         1000	7217	?	?	?	?	1	chrome
07:35:06         1000	7224	?	?	?	?	0	chrome
07:35:06         1000	7226	?	?	?	?	2	chrome
07:35:06         1000	7227	?	?	?	?	2	chrome
07:35:06         1000	7230	?	?	?	?	2	chrome
07:35:06         1000	7231	?	?	?	?	2	chrome
07:35:06         1000	7232	?	?	?	?	3	chrome
07:35:06         1000	7236	?	?	?	?	2	chrome
07:35:06         1000	7339	?	?	?	?	3	chrome
07:35:06         1000	7417	?	?	?	?	2	chrome
07:35:06         1000	7425	?	?	?	?	0	chrome
07:35:06         33	7765	?	?	?	?	2	apache2
07:35:06         33	7766	?	?	?	?	1	apache2
07:35:06         0	8127	?	?	?	?	0	kworker/0:0
07:35:06         1000	8251	?	?	?	?	1	gnome-terminal-
07:35:06         1000	8258	?	?	?	?	1	bash
07:35:06         0	8480	?	?	?	?	0	kworker/0:1
07:35:06         1000	8649	?	?	?	?	2	make
07:35:06         1000	8652	?	?	?	?	2	sh
07:35:06         999	8712	?	?	?	?	3	pmlogger
07:35:06         1000	8800	?	?	?	?	3	python
07:35:06         0	8899	?	?	?	?	3	kworker/3:1
07:35:06         1000	8993	?	?	?	?	2	Makepkgs
07:35:06         0	9418	?	?	?	?	1	kworker/1:2
07:35:06         1000	11682	?	?	?	?	1	chrome
07:35:06         1000	13421	?	?	?	?	3	pmlogger
07:35:06         1000	14017	?	?	?	?	0	Makepkgs
07:35:06         1000	14018	?	?	?	?	0	dpkg-buildpacka
07:35:06         0	17377	?	?	?	?	2	kworker/2:1
07:35:06         1000	17406	?	?	?	?	0	bash
07:35:06         1000	17478	?	?	?	?	0	gvfsd-network
07:35:06         1000	17540	?	?	?	?	2	gvfsd-dnssd
07:35:06         0	26814	?	?	?	?	3	kworker/3:2
07:35:06         1000	27306	?	?	?	?	0	gedit
07:35:06         0	28174	?	?	?	?	1	kworker/1:1
07:35:06         0	28527	?	?	?	?	1	kworker/u16:0
07:35:06         1000	29539	?	?	?	?	1	gvfsd-metadata
07:35:06         0	30540	?	?	?	?	0	kworker/0:2
07:35:06         0	31200	?	?	?	?	2	kworker/2:0
07:35:06         1000	32349	?	?	?	?	0	fakeroot
07:35:06         1000	32357	?	?	?	?	2	faked-sysv
