QA output created by 816
Fri Aug  7 07:14:45	3045400.000	196906.000	397868620.000	275.000	0.067	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:15:00	3045400.000	196906.000	397868620.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:15:15	3045400.000	196906.000	397868620.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:15:30	3052552.000	196906.000	397845376.000	275.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:15:45	3052552.000	196906.000	397845376.000	275.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:16:00	3052552.000	196906.000	397845376.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:16:15	3052552.000	196906.000	397845376.000	275.000	0.067	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:16:30	3061736.000	196906.000	397819224.000	275.000	0.067	0.000	440.933	557.667	557.667	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:16:45	3061736.000	196906.000	397819224.000	276.000	0.000	0.000	692.800	876.133	876.133	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:17:00	3061736.000	196906.000	397819224.000	276.000	0.133	0.133	692.800	876.133	876.133	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:17:15	3061736.000	196906.000	397819224.000	276.000	0.067	0.067	692.800	876.133	876.133	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:17:30	3071988.000	196906.000	397816232.000	276.000	0.000	0.200	251.867	318.467	318.467	0.000	0.000	0.000	13425280.000	1.000	3.000
