QA output created by 064

=== pcp-pidstat with -f formatting of the timestamps
Linux  4.4.0-31-generic  (ram-Lenovo)  08/05/16  x86_64    (4 CPU)
Timestamp                 UID	PID	usr	system	guest	%CPU	CPU	Command
Fri Aug  5 07:35:06 2016  1000	5596	?	?	?	?	1	bamfdaemon
Fri Aug  5 07:35:06 2016  1000	5606	?	?	?	?	3	hud-service
Fri Aug  5 07:35:06 2016  1000	5608	?	?	?	?	2	unity-settings-
Fri Aug  5 07:35:06 2016  1000	5612	?	?	?	?	0	at-spi-bus-laun
Fri Aug  5 07:35:06 2016  1000	5614	?	?	?	?	2	gnome-session-b
Fri Aug  5 07:35:06 2016  1000	5622	?	?	?	?	0	dbus-daemon
Fri Aug  5 07:35:06 2016  1000	5624	?	?	?	?	0	unity-panel-ser
Fri Aug  5 07:35:06 2016  1000	5631	?	?	?	?	2	at-spi2-registr
Fri Aug  5 07:35:06 2016  1000	5639	?	?	?	?	1	compiz
Fri Aug  5 07:35:06 2016  1000	5640	?	?	?	?	0	ibus-engine-sim
Fri Aug  5 07:35:06 2016  1000	5661	?	?	?	?	1	dconf-service
Fri Aug  5 07:35:06 2016  1000	5663	?	?	?	?	2	syndaemon
Fri Aug  5 07:35:06 2016  1000	5683	?	?	?	?	2	pulseaudio
Fri Aug  5 07:35:06 2016  1000	5711	?	?	?	?	2	indicator-messa
Fri Aug  5 07:35:06 2016  1000	5712	?	?	?	?	2	indicator-bluet
Fri Aug  5 07:35:06 2016  1000	5713	?	?	?	?	2	indicator-power
Fri Aug  5 07:35:06 2016  1000	5714	?	?	?	?	0	indicator-datet
Fri Aug  5 07:35:06 2016  1000	5716	?	?	?	?	3	indicator-keybo
Fri Aug  5 07:35:06 2016  1000	5720	?	?	?	?	0	indicator-sound
Fri Aug  5 07:35:06 2016  1000	5721	?	?	?	?	2	indicator-print
Fri Aug  5 07:35:06 2016  1000	5724	?	?	?	?	3	indicator-sessi
Fri Aug  5 07:35:06 2016  1000	5748	?	?	?	?	0	nautilus
Fri Aug  5 07:35:06 2016  1000	5749	?	?	?	?	0	unity-fallback-
Fri Aug  5 07:35:06 2016  1000	5752	?	?	?	?	1	indicator-appli
Fri Aug  5 07:35:06 2016  1000	5753	?	?	?	?	2	polkit-gnome-au
Fri Aug  5 07:35:06 2016  1000	5764	?	?	?	?	2	nm-applet
Fri Aug  5 07:35:06 2016  1000	5767	?	?	?	?	2	gnome-software
Fri Aug  5 07:35:06 2016  1000	5771	?	?	?	?	1	evolution-sourc
Fri Aug  5 07:35:06 2016  1000	5794	?	?	?	?	1	artha
Fri Aug  5 07:35:06 2016  1000	5797	?	?	?	?	2	redshift
Fri Aug  5 07:35:06 2016  1000	5805	?	?	?	?	0	gvfs-udisks2-vo
Fri Aug  5 07:35:06 2016  123	5809	?	?	?	?	0	geoclue
Fri Aug  5 07:35:06 2016  0	5830	?	?	?	?	1	udisksd
Fri Aug  5 07:35:06 2016  1000	5841	?	?	?	?	1	gvfs-goa-volume
Fri Aug  5 07:35:06 2016  1000	5846	?	?	?	?	0	gvfs-afc-volume
Fri Aug  5 07:35:06 2016  1000	5852	?	?	?	?	1	gvfs-gphoto2-vo
Fri Aug  5 07:35:06 2016  1000	5871	?	?	?	?	2	gvfs-mtp-volume
Fri Aug  5 07:35:06 2016  0	5882	?	?	?	?	0	fwupd
Fri Aug  5 07:35:06 2016  1000	5895	?	?	?	?	2	gvfsd-trash
Fri Aug  5 07:35:06 2016  1000	5901	?	?	?	?	1	evolution-calen
Fri Aug  5 07:35:06 2016  1000	5921	?	?	?	?	0	evolution-calen
Fri Aug  5 07:35:06 2016  1000	5932	?	?	?	?	2	evolution-calen
Fri Aug  5 07:35:06 2016  1000	5933	?	?	?	?	1	evolution-addre
