QA output created by 1469
QA output created by 1285 --valgrind
=== std out ===
Note: timezone set to local timezone of host "brolley-t530" from archive

proc.psinfo.rss ["007496 gpg-agent"] 1092.000 Kbyte
proc.psinfo.rss ["008176 (kworker/u16:0)"] 0.000 Kbyte
proc.psinfo.rss ["008516 (kworker/0:2)"] 0.000 Kbyte
proc.psinfo.rss ["008719 (kworker/u17:0)"] 0.000 Kbyte
proc.psinfo.rss ["011439 /usr/lib64/libreoffice/program/oosplash"] 1192.000 Kbyte
proc.psinfo.rss ["011454 /usr/lib64/libreoffice/program/soffice.bin"] 338780.000 Kbyte
proc.psinfo.rss ["012359 /usr/libexec/packagekitd"] 410712.000 Kbyte
proc.psinfo.rss ["012381 /usr/lib64/speech-dispatcher-modules/sd_generic"] 332.000 Kbyte
proc.psinfo.rss ["012384 /usr/lib64/speech-dispatcher-modules/sd_cicero"] 188.000 Kbyte
proc.psinfo.rss ["012385 (sd_cicero)"] 0.000 Kbyte
proc.psinfo.rss ["012388 /usr/lib64/speech-dispatcher-modules/sd_dummy"] 188.000 Kbyte
proc.psinfo.rss ["012391 /usr/lib64/speech-dispatcher-modules/sd_espeak"] 156.000 Kbyte
proc.psinfo.rss ["012396 /usr/bin/speech-dispatcher"] 0.000 Kbyte
proc.psinfo.rss ["012902 bash"] 4.000 Kbyte
proc.psinfo.rss ["013731 /usr/libexec/dconf-service"] 0.000 Kbyte
proc.psinfo.rss ["014337 /usr/lib/systemd/systemd-journald"] 52497.410 Kbyte
proc.psinfo.rss ["015236 (kworker/u17:3)"] 0.000 Kbyte
proc.psinfo.rss ["016224 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["016283 (kworker/3:1)"] 0.000 Kbyte
proc.psinfo.rss ["016851 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["016852 sed"] 0.000 Kbyte
proc.psinfo.rss ["016854 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["016855 cat"] 0.000 Kbyte
proc.psinfo.rss ["017209 /usr/libexec/pcp/bin/pmcd"] 5864.000 Kbyte
proc.psinfo.rss ["017212 /var/lib/pcp/pmdas/root/pmdaroot"] 5172.000 Kbyte
proc.psinfo.rss ["017213 /var/lib/pcp/pmdas/proc/pmdaproc"] 6668.000 Kbyte
proc.psinfo.rss ["017214 /var/lib/pcp/pmdas/xfs/pmdaxfs"] 3588.000 Kbyte
proc.psinfo.rss ["017215 /var/lib/pcp/pmdas/sample/pmdasample"] 5248.000 Kbyte
proc.psinfo.rss ["017216 /var/lib/pcp/pmdas/linux/pmdalinux"] 5296.000 Kbyte
proc.psinfo.rss ["017217 perl"] 9424.000 Kbyte
proc.psinfo.rss ["017218 /var/lib/pcp/pmdas/simple/pmdasimple"] 5348.000 Kbyte
proc.psinfo.rss ["017290 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["017294 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["017384 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["018620 gnome-calculator"] 13096.000 Kbyte
proc.psinfo.rss ["019039 /usr/lib64/firefox/firefox"] 394422.447 Kbyte
proc.psinfo.rss ["020700 /usr/lib64/firefox/firefox"] 2160311.897 Kbyte
proc.psinfo.rss ["021121 /usr/bin/nautilus"] 76368.000 Kbyte
proc.psinfo.rss ["021207 (scsi_eh_6)"] 0.000 Kbyte
proc.psinfo.rss ["021208 (scsi_tmf_6)"] 0.000 Kbyte
