QA output created by 1303
Device Mapper
--dmcache1- ----system----
 read  writ|     time     
   0     0 :   0  4096B:   0  8192B|01-08 14:36:31.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:32.247
   0     0 :   0  4096B:   0    20k|01-08 14:36:33.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:34.247
   0     0 :   0  4096B:   0    20k|01-08 14:36:35.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:36.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:37.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:38.247
   0     0 :   0  4096B:   0    36k|01-08 14:36:39.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:40.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:41.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:42.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:43.247
   0     0 :   0  4096B:   0    20k|01-08 14:36:44.247
   0     0 : 236k 7168B: 236k  416k|01-08 14:36:45.247
   0     0 : 276k 9216B: 276k  304k|01-08 14:36:46.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:47.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:48.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:49.247
   0   512k:   0  4096B: 512k  544k|01-08 14:36:50.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:51.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:52.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:53.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:54.247
   0     0 :   0  4096B: 128k   20k|01-08 14:36:55.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:56.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:57.247
   0     0 :2144k 4096B:2144k 8192B|01-08 14:36:58.247
   0     0 :1939k 4096B:1939k 8192B|01-08 14:36:59.247
   0     0 :2878k 3072B:2878k  490k|01-08 14:37:00.247
   0     0 :5766k 5120B:5766k   94k|01-08 14:37:01.247
